Title	Wiki_text	Clean_wiki_text	Wikidata_desc	Clean_wikidata_desc	Category
Double glazing	"<p class=""mw-empty-elt""> </p><p><b>Insulating glass</b> (<b>IG</b>) consists of two or more glass window panes separated by a space to reduce heat transfer across a part of the building envelope. A window with insulating glass is commonly known as <b>double glazing</b> or a <b>double-paned window</b>, triple glazing or a triple-paned window, or quadruple glazing or a quadruple-paned window, depending upon how many panes of glass are used in its construction. </p><p>Insulating glass units (IGUs) are typically manufactured with glass in thicknesses from 3 to 10 mm (1/8"" to 3/8""). Thicker glass is used in special applications. Laminated or tempered glass may also be used as part of the construction. Most units are produced with the same thickness of glass on both panes but special applications such as acoustic attenuation or security may require different thicknesses of glass to be incorporated in a unit. </p><p>The space in between the panes provides the bulk of the insulation effect and may be filled with air, but argon is often used as it gives better insulation, or sometimes different gases or a vacuum are employed. </p>"	security sometimes most give construction consists more between bulk commonly mm also used by incorporated are thickness unit from part upon argon triplepaned same glazing be pane 38 application provides building many filled tempered insulation produced effect insulating typically attenuation laminated often such two 18 doublepaned triple of both is but on separated acoustic it envelope space vacuum different air quadruplepaned quadruple better heat a ig may special reduce or 10 glass depending and transfer employed double known the to gas thicker 3 igus how window manufactured with across require in	construction element consisting of at least two glass plates for windows and other glazing	for and element at least window plate other construction of consisting glazing two glass	Building
Awning	<p>An <b>awning</b> or <b>overhang</b> is a secondary covering attached to the exterior wall of a building. It is typically composed of canvas woven of acrylic, cotton or polyester yarn, or vinyl laminated to polyester fabric that is stretched tightly over a light structure of aluminium, iron or steel, possibly wood or transparent material (used to cover solar thermal panels in the summer, but that must allow as much light as possible in the winter). The configuration of this structure is something of a truss, space frame or planar frame. Awnings are also often constructed of aluminium understucture with aluminium sheeting. These aluminium awnings are often used when a fabric awning is not a practical application where snow load as well as wind loads may be a factor. </p><p>The location of an awning on a building may be above a window, a door, or above the area along a sidewalk. With the addition of columns an awning becomes a canopy, which is able to extend further from a building, as in the case of an entrance to a hotel. Restaurants often use awnings broad enough to cover substantial outdoor area for outdoor dining, parties, or reception. In commercial buildings, an awning is often painted with information as to the name, business, and address, thus acting as a sign or billboard as well as providing shade, breaking strong winds, and protecting from rain or snow. In areas with wintry weather, most awnings do not have to be taken down at the end of the summer – they can remain retracted against the building all winter long, or be designed and built for those conditions. </p> 	exterior case restaurant stretched these above fabric most able also tightly used party extend awning are overhang must well material where from wall structure enough can protecting an possible this polyester be designed over area solar built taken location for attached much application building wind substantial acting those remain when composed that reception dining billboard canvas breaking outdoor typically light broad secondary allow along laminated transparent often acrylic thermal information they business of thus constructed practical commercial which shade is addition but cover on it end strong iron – space do sidewalk yarn providing steel door load address at frame further column a sheeting use aluminium long may summer something wintry all canopy rain or not covering have and factor panel down weather hotel wood sign becomes the condition retracted against to winter entrance cotton woven planar truss window understucture possibly with vinyl name painted in snow configuration	secondary covering attached to the exterior wall of a building	the exterior attached building to secondary a of covering wall	Building
German National Action Plan on Energy Efficiency	"<p class=""mw-empty-elt""> </p><p>The <b>German National Action Plan on Energy Efficiency</b> (<b>NAPE</b>) (German: <i lang=""de"">Nationale Aktionsplan Energieeffizienz</i>) is the National Energy Efficiency Action Plan (NEEAP) for Germany. The plan was commissioned under EU Energy Efficiency Directive 2012/27/EU of the European Union and released on 3 December 2014. Under the plan, the German government offers an average increase of 2.1%/year in macroeconomic energy productivity from 2008 to 2020.<sup class=""reference nowrap""><span title=""Page / location: 7"">: 7 </span></sup> The exact reduction in primary energy use is therefore dependent on the rate of economic growth. The NAPE is part of the Climate Action Programme<span> </span>2020, also approved on 3<span> </span>December 2014.</p>"	for nationale december productivity 7 offer directive plan neeap 2020 economic 2014 2008 is germany released average macroeconomic on and nape also increase eu growth reduction therefore climate government efficiency german exact the rate energieeffizienz 21year to aktionsplan approved from primary 3 energy part wa programme an european union 201227eu under dependent of use action commissioned in national	abbreviation derives from the German title Nationale Aktionsplan Energieeffizienz	derives the nationale energieeffizienz title aktionsplan abbreviation from german	Building
Autonomous building	"<p>An <b>autonomous building</b> is a building designed to be operated independently from infrastructural support services such as the electric power grid, gas grid, municipal water systems, sewage treatment systems, storm drains, communication services, and in some cases, public roads. </p><p>Advocates of autonomous building describe advantages that include reduced environmental impacts, increased security, and lower costs of ownership. Some cited advantages satisfy tenets of green building, not independence per se (see below). Off-grid buildings often rely very little on civil services and are therefore safer and more comfortable during civil disaster or military attacks. For example, Off-grid buildings would not lose power or water if public supplies were compromised. </p><p>As of 2018, most research and published articles concerning autonomous building focus on residential homes. </p><p>In 2002, British architects Brenda and Robert Vale said that </p> <blockquote><p>It is quite possible in all parts of Australia to construct a 'house with no bills', which would be comfortable without heating and cooling, which would make its own electricity, collect its own water and deal with its own waste...These houses can be built now, using off-the-shelf techniques. It is possible to build a ""house with no bills"" for the same price as a conventional house, but it would be (25%) smaller.</p></blockquote>"	tenet case residential security operated most house conventional more attack would deal road reduced are therefore se civil technique infrastructural from part can without collect an possible include increased autonomous vale same designed be british architect built for smaller per were bill building concerning said very 2002 service water that 25 municipal support impact comfortable construct electricity often robert such supply below rely safer of environmental article which lower is compromised but now on own cost quite it wastethese australia independence advocate focus advantage electric some 2018 brenda a power grid disaster cited no build describe using all or public sewage not example and green if research heating make offtheshelf system the offgrid to gas treatment lose during home drain published storm ownership satisfy little communication with military price see in independently cooling	building desgined to be independent from public infrastructure	independent building to public from desgined be infrastructure	Building
Waste House	"<p class=""mw-empty-elt""> </p> <p><b>Waste House</b> is a building on the University of Brighton campus in the centre of Brighton on the south coast of England. It was built between 2012 and 2014 as a project involving hundreds of students and apprentices and was designed by Duncan Baker-Brown, an architect who also lectures at the university. The materials consist of a wide range of construction industry and household waste—from toothbrushes and old jeans to VHS cassettes and bicycle inner tubes—and it is the first public building in Europe to be built primarily of such products. ""From a distance [resembling] an ordinary contemporary town house"", Waste House is designed to be low-energy and sustainable, and will be in continuous use as a test-bed for the university's design, architecture and engineering students. The building has won several awards and was shortlisted for the Royal Institute of British Architects' Stephen Lawrence Prize in September 2015. </p> "	2014 construction old between bakerbrown also by prize ordinary household won consist europe resembling tubes—and engineering university who material from wa involving an range 2015 designed be architecture british architect town built several for stephen student inner building lowenergy project will royal distance shortlisted product lawrence industry such toothbrush brighton of campus centre primarily is on award south it continuous coast september england lecture at a use cassette in bicycle waste public contemporary wide jean testbed and 2012 first apprentice sustainable the to vhs waste—from hundred ha institute house duncan design	building on the University of Brighton campus	on the university building brighton of campus	Building
Energiesprong	<p><b>Energiesprong</b> (English: <i>Energy leap</i>) is a program that originated in the Netherlands that introduced and retrofitted houses that satisfy energy efficient standards. It has since been implemented in the United Kingdom, the United States, France, and Canada. The program typically consists of snapping a shell of panels to the outside of a building to increase its thermal efficiency. </p>	leap energiesprong building efficient is snapping france house shell consists english that implemented canada and panel increase introduced it netherlands outside typically efficiency united the kingdom retrofitted to thermal standard energy state program satisfy since ha been a of in originated	Dutch government program to improve energy efficiency	program to dutch energy improve government efficiency	Building
Annualized geo solar	"<p class=""mw-empty-elt""> </p><p><b>Seasonal thermal energy storage</b> (<b>STES</b>), also known as <b>inter-seasonal thermal energy storage</b>, is the storage of heat or cold for periods of up to several months. The thermal energy can be collected whenever it is available and be used whenever needed, such as in the opposing season. For example, heat from solar collectors or waste heat from air conditioning equipment can be gathered in hot months for space heating use when needed, including during winter months. Waste heat from industrial process can similarly be stored and be used much later or the natural cold of winter air can be stored for summertime air conditioning.</p><p>STES stores can serve district heating systems, as well as single buildings or complexes. Among seasonal storages used for heating, the design peak annual temperatures generally are in the range of 27 to 80 °C (81 to 180 °F), and the temperature difference occurring in the storage over the course of a year can be several tens of degrees. Some systems use a heat pump to help charge and discharge the storage during part or all of the cycle. For cooling applications, often only circulation pumps are used. </p><p>Examples for district heating include Drake Landing Solar Community where ground storage provides 97% of yearly consumption without heat pumps, and Danish pond storage with boosting.</p>"	80 also used are conditioning charge course circulation district well from where part can stes without range include industrial ground be including over solar several degree for single landing much complex building application provides discharge stored collected natural when serve month store later similarly ten among conditioningstes 97 yearly often such thermal interseasonal up cooling storage summertime help year generally of cold whenever is hot gathered consumption equipment it difference boosting space °c period some opposing air energy community needed pond heat temperature 81 °f a use peak all cycle seasonal waste or example and heating 180 process known system the to drake season during winter available only occurring danish 27 with pump collector annual in design	storage of heat or cold for periods of up to several months	storage for heat cold to or period of month up several	Building
Underfloor air distribution	<p><b>Underfloor air distribution</b> (UFAD) is an air distribution strategy for providing ventilation and space conditioning in buildings as part of the design of a HVAC system. UFAD systems use an underfloor supply plenum located between the structural concrete slab and a raised floor system to supply conditioned air through floor diffusers directly into the occupied zone of the building. UFAD systems are similar to conventional overhead systems (OH) in terms of the types of equipment used at the cooling and heating plants and primary air-handling units (AHU). Key differences include the use of an underfloor air supply plenum, warmer supply air temperatures, localized air distribution (with or without individual control) and thermal stratification. Thermal stratification is one of the featured characteristics of UFAD systems, which allows higher thermostat setpoints compared to the traditional overhead systems (OH). UFAD cooling load profile is different from a traditional OH system due to the impact of raised floor, particularly UFAD may have a higher peak cooling load than that of OH systems. This is because heat is gained from building penetrations and gaps within the structure itself. UFAD has several potential advantages over traditional overhead systems, including layout flexibility, improved thermal comfort and ventilation efficiency, reduced energy use in suitable climates and life-cycle costs. UFAD is often used in office buildings, particularly highly-reconfigurable and open plan offices where raised floors are desirable for cable management. UFAD is appropriate for a number of different building types including commercials, schools, churches, airports, museums, libraries etc. Notable buildings using UFAD system in North America include The New York Times Building, Bank of America Tower and San Francisco Federal Building. Careful considerations need to be made in the construction phase of UFAD systems to ensure a well-sealed plenum to avoid air leakage in UFAD supply plenums. </p>	highlyreconfigurable higher control plan conventional number construction type distribution located between time used gained office gap term made federal itself are reduced conditioning allows characteristic underfloor church overhead unit thermostat suitable library from where open part structure without an include due comfort this layout be including francisco over several for ventilation building etc ahu that potential school ufad because improved plant impact efficiency cable raised individual tower profile flexibility often lifecycle stratification need thermal zone san supply desirable compared of commercial strategy which localized is traditional concrete equipment cost design america phase museum airhandling difference advantage similar space careful providing air different notable energy consideration ensure load heat at setpoints bank temperature particularly new a use primary peak may in using wellsealed structural within into or diffuser management airport york have plenum and one directly floor heating avoid appropriate climate system warmer the oh penetration than to featured slab leakage ha conditioned hvac key with through north occupied cooling	air distribution strategy for providing ventilation and space conditioning	for and strategy ventilation space providing air conditioning distribution	Building
Green home	"<p>A <b>green home</b> is a type of house designed to be environmentally sustainable. Green homes focus on the efficient use of ""energy, water, and building materials"". A green home may use sustainably sourced, environmentally friendly, and/or recycled building materials. It may include sustainable energy sources such as solar or geothermal, and be sited to take maximum advantage of natural features such as sunlight and tree cover to improve energy efficiency. </p>"	building efficient or maximum is natural water type cover on and green it source friendly sustainably sunlight improve sustainable focus efficiency the geothermal advantage feature to tree take material home such sited energy environmentally use recycled include andor a of designed be sourced house solar may	type of house designed to be environmentally sustainable	to designed of be sustainable house type environmentally	Building
Radiant cooling	"<p class=""mw-empty-elt""> </p> <p><b>Radiant heating and cooling</b> is a category of HVAC technologies that exchange heat by both convection and radiation with the environments they are designed to heat or cool. There are many subcategories of radiant heating and cooling, including: ""radiant ceiling panels"", ""embedded surface systems"", ""thermally active building systems"", and infrared heaters. According to some definitions, a technology is only included in this category if radiation comprises more than 50% of its heat exchange with the environment; therefore technologies such as radiators and chilled beams (which may also involve radiation heat transfer) are usually not considered radiant heating or cooling. Within this category, it is practical to distinguish between high temperature radiant heating (devices with emitting source temperature &gt;≈300 °F), and radiant heating or cooling with more moderate source temperatures. This article mainly addresses radiant heating and cooling with moderate source temperatures, used to heat or cool indoor environments. Moderate temperature radiant heating and cooling is usually composed of relatively large surfaces that are internally heated or cooled using hydronic or electrical sources. For high temperature indoor or outdoor radiant heating, see: Infrared heater. For snow melt applications see: Snowmelt system. </p>"	radiation hydronic more beam between also used by surface are radiator therefore emitting large indoor convection this distinguish designed including according for snowmelt application many building radiant embedded chilled heater composed gt≈300 that outdoor high such melt they of environment subcategories practical which article there both is ceiling technology included category it device source moderate relatively comprises heated infrared some cool usually address heat mainly temperature involve °f a definition considered may using within or 50 not and panel if transfer heating exchange electrical system the thermally than to cooled only active with hvac internally see in snow cooling	systems using temperature-controlled surfaces to exchange heat with their surrounding environment through convection and radiation	and using radiation heat surface to surrounding exchange with convection their temperaturecontrolled through environment system	Building
Green building	<p><b>Green building</b> (also known as <b>green construction</b> or <b>sustainable building</b>) refers to both a structure and the application of processes that are environmentally responsible and resource-efficient throughout a building's life-cycle: from planning to design, construction, operation, maintenance, renovation, and demolition. This requires close cooperation of the contractor, the architects, the engineers, and the client at all project stages. The Green Building practice expands and complements the classical building design concerns of economy, utility, durability, and comfort. In doing so, the three dimensions of sustainability, i.e., planet, people and profit across the entire supply chain need to be considered.</p><p>Leadership in Energy and Environmental Design (LEED) is a set of rating systems for the design, construction, operation, and maintenance of green buildings which was developed by the U.S. Green Building Council. Other certificate systems that confirm the sustainability of buildings are the British BREEAM (Building Research Establishment Environmental Assessment Method) for buildings and large-scale developments or the DGNB System (Deutsche Gesellschaft für Nachhaltiges Bauen e.V.) which benchmarks the sustainability performance of buildings, indoor environments and districts. Currently, the World Green Building Council is conducting research on the effects of green buildings on the health and productivity of their users and is working with the World Bank to promote Green Buildings in Emerging Markets through EDGE (Excellence in Design for Greater Efficiencies) Market Transformation Program and certification. There are also other tools such as Green Star in Australia, Global Sustainability Assessment System (GSAS) used in the Middle East and the Green Building Index (GBI) predominantly used in Malaysia. </p><p>Building information modeling (BIM) is a process involving the generation and management of digital representations of physical and functional characteristics of places. Building information models (BIMs) are files (often but not always in proprietary formats and containing proprietary data) which can be extracted, exchanged, or networked to support decision-making regarding a building or other built asset. Current BIM software is used by individuals, businesses, and government agencies who plan, design, construct, operate and maintain diverse physical infrastructures, such as water, refuse, electricity, gas, communication utilities, roads, railways, bridges, ports, and tunnels. </p><p>Although new technologies are constantly being developed to complement current practices in creating greener structures, the common objective of green buildings is to reduce the overall impact of the built environment on human health and the natural environment by: </p> <ul><li>Efficiently using energy, water, and other resources</li> <li>Protecting occupant health and improving employee productivity (see healthy building)</li> <li>Reducing waste, pollution, and environmental degradation</li></ul><p>A similar concept is natural building, which is usually on a smaller scale and tends to focus on the use of natural materials that are available locally. Other related topics include sustainable design and green architecture. Sustainability may be defined as meeting the needs of present generations without compromising the ability of future generations to meet their needs. Although some green building programs don't address the issue of retrofitting existing homes, others do, especially through public schemes for energy efficient refurbishment. Green construction principles can easily be applied to retrofit work as well as new construction. </p><p>A 2009 report by the U.S. General Services Administration found 12 sustainably-designed buildings that cost less to operate and have excellent energy performance. In addition, occupants were overall more satisfied with the building than those in typical commercial buildings. These are eco-friendly buildings.</p>	these rating plan human throughout construction certificate für more digital also used by road are always largescale characteristic planet sustainability concept future compromising transformation other indoor district well who material from malaysia structure generation wa involving can protecting without doing include comfort development this pollution engineer method resourceefficient bridge currently profit be british agency architecture architect built employee for smaller 2009 were ie regarding application building diverse those project efficient natural others degradationa service establishment current planning reducing water that health index related conducting place ability exchanged effect proprietary support impact efficiency construct edge individual stage classical concern economy dgnb modeling electricity consideredleadership east lifecycle need often such constantly information close file overall deutsche gbi locally greener supply tends contractor asset business operate existing applied of infrastructure three environment environmental entire le productivity topic commercial which there middle star both sustainablydesigned networked client is retrofit set addition but so resource technology on dimension efficiently report benchmark occupant cost objective decisionmaking cooperation government focus functional containing similar utility durability user demolition creating some promote certification global do tool maintain maintenance energy greater usually 12 expands market requires bank at complement u performance address software confirm new general a their administration use principle may dont being using all issue bims reduce found healthy excellent waste or public scheme management predominantly not refuse present ecofriendly nachhaltiges have and extracted practice green meet retrofitting refurbishment research work assessment leed although process chain known sustainable defined data system easily gsa the railway council satisfied than to excellence world gas improving bim common especially representation breeam home typical port scale renovation environmentally bauen developed available tunnel operation responsible emerging people ev program gesellschaft format meeting with across communication working physical through model see in australia design refers	architecture designed to minimize environmental and resource impact	and impact to minimize designed architecture environmental resource	Building
Centre for Alternative Technology	"<p class=""mw-empty-elt""> </p> <p>The <b>Centre for Alternative Technology</b> (CAT) (Welsh: <i lang=""cy"">Canolfan y Dechnoleg Amgen</i>) is an eco-centre in Powys, mid-Wales, dedicated to demonstrating and teaching sustainable development. CAT, despite its name, no longer concentrates its efforts exclusively on alternative technology, but provides information on all aspects of sustainable living. It is open to visitors, offers postgraduate degrees as well as shorter residential and one day courses; and publishes information on renewable energy, sustainable architecture, organic farming, gardening, and sustainable living. CAT also runs education programmes for schools and sells environmentally friendly items through its on site shop, restaurant and mail order department. </p>"	for amgen residential centre all offer provides site shop restaurant run is order department powys publishes but shorter visitor technology item and on effort one also school sell exclusively cat it postgraduate friendly sustainable canolfan the course mail welsh to demonstrating well ecocentre y organic despite living information open renewable longer aspect dechnoleg energy programme an dedicated gardening midwales teaching environmentally development farming education name day a no concentrate of architecture through in alternative degree	is an eco-centre in Powys, mid-Wales, UK, dedicated to demonstrating and teaching sustainable development	and an dedicated midwales teaching development to demonstrating is ecocentre powys uk sustainable in	Building
Heat recovery ventilation	<p><b>Heat recovery ventilation</b> (<b>HRV</b>), also known as <b>mechanical ventilation heat recovery</b> (<b>MVHR</b>), is an energy recovery ventilation system which works between two sources at different temperatures. Heat recovery is a method which is used to reduce the heating and cooling demands of buildings. By recovering the residual heat in the exhaust gas, the fresh air introduced into the air conditioning system is pre-heated (pre-cooled) and the fresh air enthalpy is increased (reduced) before the fresh air enters the room or the air cooler of the air conditioning unit performs heat and moisture treatment. A typical heat recovery system in buildings consists of a core unit, channels for fresh air and exhaust air and blower fans. Building exhaust air is used as either a heat source or heat sink depending on the climate conditions, time of year and requirements of the building. Heat recovery systems typically recover about 60–95% of the heat in exhaust air and have significantly improved the energy efficiency of buildings .</p>	recovering consists between time also used by channel fan reduced conditioning unit mechanical an enters exhaust increased recovery method for ventilation building demand either improved mvhr typically efficiency enthalpy hrv two year of before which is fresh on introduced source cooler about different air room significantly energy heat at temperature recover a reduce residual into or requirement sink preheated have depending and precooled work heating known climate system the condition blower to performs gas treatment core typical moisture 60–95 in cooling	collective term for the procedere of reusing thermal energy	for the reusing collective term of thermal procedere energy	Building
Passivhaus-Institut	"<p>The <b>Passivhaus-Institut (PHI)</b> is responsible for promoting and maintaining the Passivhaus building program. The <i>""Passivhaus Institute""</i> was founded in 1996, and is based and active in Darmstadt, Germany. </p><p>The English spelling was used for the Passive House Institute US (PHIUS) when it formed in 2007 originally under the umbrella of the Passivhaus Institute. The two separated in 2012. </p><p>Though PHI and PHIUS sustainable design standards are different, they both share common goals for drastic energy conservation and carbon reduction through Sustainable architecture design techniques and specifications to create Low-energy houses and other structures with Low energy building practices for the public benefit worldwide. </p>"	for formed building founded lowenergy both public carbon is phius drastic house umbrella when germany share english darmstadt and 2012 practice used maintaining separated passivhausinstitut spelling it reduction originally are 1996 2007 sustainable specification the to technique other common different conservation passivhaus two based though standard energy structure wa benefit active passive they responsible phi program promoting u goal create low with under worldwide of through architecture institute in design	organization	organization	Building
Zero-energy building	"<p>A <b>Zero Energy Building</b> (ZEB), also known as a <b>Net Zero Energy</b> (NZE) building, or a <b>Zero Net Energy</b> (ZNE) building, is a building with net zero energy consumption, meaning the total amount of energy used by the building on an annual basis is equal to the amount of renewable energy created on the site or in other definitions by renewable energy sources offsite, using technology such as heat pumps, high efficiency windows and insulation, and solar panels. The goal is that these buildings contribute less overall greenhouse gas to the atmosphere during operations than similar non-ZNE buildings. They do at times consume non-renewable energy and produce greenhouse gases, but at other times reduce energy consumption and greenhouse gas production elsewhere by the same amount. Zero-energy buildings are not only driven by a want to have less of an impact on the environment, but they are also driven by money. Tax breaks as well as savings on energy costs make Zero-energy buildings financially viable. A similar concept approved and implemented by the European Union and other agreeing countries is <b>nearly Zero Energy Building</b> (<b>nZEB</b>), with the goal of having all new buildings in the region under nZEB standards by 2020.</p><p>Terminology tends to vary between countries, agencies, cities, towns and reports, so a general knowledge of this concept and its various employments is essential for a versatile understanding of clean energy and renewables. The IEA and European Union most commonly use Net Zero Energy, with ""zero net"" mainly used in the USA. </p>"	these renewables most clean between driven time also commonly used by are concept viable saving nzeb other well 2020terminology financially consume renewable an this union understanding same basis solar town zne offsite for building insulation that production usa nearly impact efficiency high approved such money knowledge overall they tends city nonzne zeb of le environment site meaning nze is zeroenergy total agreeing but implemented so produce consumption technology on nonrenewable report zero cost it source region essential break having similar do employment standard energy european heat contribute at mainly goal greenhouse new under general a definition created use versatile using all reduce or not have amount and panel various make known net country annual vary the iea than to gas during tax equal only operation window with pump elsewhere want atmosphere in agency	energy efficiency standard for buildings	for building standard energy efficiency	Building
Energy monitoring and targeting	<p><b>Energy monitoring and targeting</b> (M&amp;T) is an energy efficiency technique based on the standard management axiom stating that “you cannot manage what you cannot measure”. M&amp;T techniques provide energy managers with feedback on operating practices, results of energy management projects, and guidance on the level of energy use that is expected in a certain period. Importantly, they also give early warning of unexpected excess consumption caused by equipment malfunctions, operator error, unwanted user behaviours, lack of effective maintenance and the like. </p><p>The foundation of M&amp;T lies in determining the normal relationships of energy consumptions to relevant driving factors (HVAC equipment, production though puts, weather, occupancy available daylight, etc.) and the goal is to help business managers: </p> <ul><li>Identify and explain excessive energy use</li> <li>Detect instances when consumption is unexpectedly higher or lower than would usually have been the case</li> <li>Visualize energy consumption trends (daily, weekly, seasonal, operational...)</li> <li>Determine future energy use and costs when planning changes in the business</li> <li>Diagnose specific areas of wasted energy</li> <li>Observe how changes to relevant driving factors impact energy efficiency</li> <li>Develop performance targets for energy management programs</li> <li>Manage energy consumption, rather than accept it as a fixed cost</li></ul><p>The ultimate goal is to reduce energy costs through improved energy efficiency and energy management control. Other benefits generally include increased resource efficiency, improved production budgeting and reduction of greenhouse gas (GHG) emissions. </p>	case higher control observe accept instance give expected behaviour guidance early would also like by determine foundation future unwanted technique wasted other warning lie detect normal can benefit an “ include increased effective manage you result area unexpectedly for operating project etc change ghg when visualize planning emission that production target unexpected monitoring put improved provide impact efficiency certain though they mampt help business been explain generally of trend lower is costthe identify ” rather resource consumption on develop feedback equipment determining cost weekly it malfunction user operator period diagnose based standard energy maintenance usually fixed level stating error manager performance goal lack daylight greenhouse a use reduce seasonal caused budgeting occupancy or management axiom targeting driving not have ultimate and factor practice weather reduction importantly excess relevant the daily than to gas available measure excessive how what program relationship with hvac operational specific through in	energy efficiency technique based on the standard management	on the technique management based standard energy efficiency	Building
Ground-coupled heat exchanger	<p>A <b>ground-coupled heat exchanger</b> is an underground heat exchanger that can capture heat from and/or dissipate heat to the ground. They use the Earth's near constant subterranean temperature to warm or cool air or other fluids for residential, agricultural or industrial uses. If building air is blown through the heat exchanger for heat recovery ventilation, they are called <b>earth tubes</b> (or Canadian well, Provençal well, Solar chimney, also termed earth cooling tubes, earth warming tubes, earth-air heat exchangers (EAHE or EAHX), air-to-soil heat exchanger, earth channels, earth canals, earth-air tunnel systems, ground tube heat exchanger, hypocausts, subsoil heat exchangers, thermal labyrinths, underground air pipes, and others). </p><p>Earth tubes are often a viable and economical alternative or supplement to conventional central heating or air conditioning systems since there are no compressors, chemicals or burners and only blowers are required to move the air. These are used for either partial or full cooling and/or heating of facility ventilation air. Their use can help buildings meet Passive House standards or LEED certification. </p><p>Earth-air heat exchangers have been used in agricultural facilities (animal buildings) and horticultural facilities (greenhouses) in the United States of America over the past several decades and have been used in conjunction with solar chimneys in hot arid areas for thousands of years, probably beginning in the Persian Empire. Implementation of these systems in India as well as in the cooler climates of Austria, Denmark and Germany to preheat the air for home ventilation systems has become fairly common since the mid-1990s, and is slowly being adopted in North America. </p><p>Ground-coupled heat exchanger may also use water or antifreeze as a heat transfer fluid, often in conjunction with a geothermal heat pump. See, for example downhole heat exchangers. The rest of this article deals primarily with earth-air heat exchangers or earth tubes. </p>	residential these conventional partial us also used channel full become deal are slowly conditioning probably viable warming past facility chemical other well from agricultural central move required can an passive preheat india since andor this recovery ground industrial beginning over area alternative solar several for exchanger ventilation building hypocausts others pipe implementation that water antifreeze downhole near capture eahe either geothermal dissipate groundcoupled earthair often horticultural arid thermal subterranean they help fluid been persian conjunction year of article primarily earth there is hot economical germany adopted subsoil america airtosoil decade cooler provençal supplement chimney austria certification air blown cool rest standard state heat temperature greenhouse mid1990s a no their animal use labyrinth canadian fairly may constant in being burner or example have canal underground and if meet transfer heating leed thousand tube eahx climate system united the blower to warm called common home compressor only denmark tunnel empire ha with pump termed through north see house cooling	underground heat exchanger loop that can capture or dissipate heat to or from the ground	the exchanger heat dissipate capture to or ground from loop that can underground	Building
ECOCITIES (software)	<p><b>ECOCITIES</b> is an energy optimization system for building portfolios combining and extending the benefits of Energy Management Software (EMS), Computer-aided Facility Management (CAFM) software and building portfolio management software. It integrates building administration and monitoring, energy accounting and building portfolio optimization. Thereby, it supports the definition of low carbon action plans in terms of environmental impact (e.g., carbon footprint, energy efficiency) and financial impact (e.g., investment costs, running, costs). </p>	for investment building plan carbon is optimization management and ecocities cost monitoring term it footprint support thereby impact system efficiency running cafm the integrates facility environmental combining energy em benefit financial an portfolio low software action administration accounting definition of computeraided extending eg in	energy optimization software	optimization energy software	Building
Energy recovery ventilation	<p><b>Energy recovery ventilation</b> (<b>ERV</b>) is the energy recovery process in residential and commercial HVAC systems that exchanges the energy contained in normally exhausted air of a building or conditioned space, using it to treat (precondition) the incoming outdoor ventilation air. The specific equipment involved may be called an Energy Recovery Ventilator, also abbreviated <i>ERV</i>. </p><p>During the warmer seasons, an ERV system pre-cools and dehumidifies; During cooler seasons the system humidifies and pre-heats. An ERV system helps HVAC design meet ventilation and energy standards (e.g., ASHRAE, improves indoor air quality and reduces total HVAC equipment capacity, thereby reducing energy consumption.) </p><p>ERV systems enable an HVAC system to maintain a 40-50% indoor relative humidity, essentially in all conditions. ERV's must use power for a blower to overcome the pressure drop in the system, hence incurring a slight energy demand.</p>	residential erv normally reduces also humidity humidifies must indoor ventilator an precools incurring recovery be quality eg 4050 for drop ventilation building reducing that involved demand outdoor ashrae ervs help of contained exhausted commercial improves is preheats total consumption incoming equipment it cooler space air maintain standard energy enable precondition a power use may slight using all pressure or hence dehumidifies overcome and meet exchange process treat essentially capacity thereby system warmer the condition blower to called season during relative abbreviated conditioned hvac specific in design	systems where hot exhaust air is recovered to partially heat fresh air and save energy	and heat exhaust to partially recovered is hot air where fresh energy system save	Building
Light tube	<p><b>Light tubes</b> (also known as <b>light pipes</b> or <b>tubular skylights</b>) are structures that transmit or distribute natural or artificial light for the purpose of illumination and are examples of optical waveguides. </p><p>In their application to daylighting, they are also often called tubular daylighting devices, sun pipes, sun scopes, or daylight pipes. They can be divided into two broad categories: hollow structures that contain the light with reflective surfaces; and transparent solids that contain the light by total internal reflection. Principles of nonimaging optics govern the flow of light through them.</p>	for reflective application into or natural total pipe example contain that and also by distribute surface category reflection tube device artificial are known optic light internal the illumination broad transmit hollow to called flow sun often transparent two them purpose structure optical scope can govern skylight waveguide they daylight tubular with solid a their divided of be through principle in nonimaging daylighting	architectural element	architectural element	Building
